atr_mult,rebound,vol_block,atr_fast,final,dd,months,med,yup,ruin
4.6,0.75,0.9,25,1404.0372387044324,17.169720186659955,63.436123348017624,3.7203967245271086,17,False
4.6,0.75,0.9,30,1421.1849525671596,15.683786319345517,62.11453744493392,3.7853086535390768,18,False
4.6,0.75,0.9,35,1348.3257793162293,17.738600091153756,63.87665198237885,9.927322698919049,19,False
4.6,0.75,1.0,25,1479.89232855351,17.1142837312506,65.19823788546255,5.201544290582594,19,False
4.6,0.75,1.0,30,1112.580743566646,18.035957814577568,62.11453744493392,6.3169035846648125,18,False
4.6,0.75,1.0,35,1379.0126329143973,15.058934454485707,63.436123348017624,6.213011258637291,18,False
5.0,0.55,0.8,25,1651.7581663865521,18.17278104369904,65.63876651982379,8.176073332760868,19,False
5.0,0.55,0.8,30,1643.1830565517998,12.316338174239132,67.84140969162996,5.783569047040449,19,False
5.0,0.55,0.8,35,1643.7806891771634,13.250138013362081,65.63876651982379,7.83298352992412,19,False
5.0,0.55,0.9,25,1290.9966107526297,17.77749662236937,62.99559471365639,8.565756663794621,18,False
5.0,0.55,0.9,30,1608.4322678987746,14.479420987029387,64.31718061674009,5.305340940602732,18,False
5.0,0.55,0.9,35,1412.819729070154,15.093667220852685,64.75770925110133,6.1463828901314965,19,False
5.0,0.55,1.0,25,1611.4352331932787,16.9518370998015,69.16299559471366,9.914662640860495,19,False
5.0,0.55,1.0,30,1132.646502232065,15.222720504780987,55.947136563876654,6.411932979688162,19,False
5.0,0.55,1.0,35,1075.4039223190869,15.304651150906542,59.91189427312775,6.158229338791532,18,False
5.0,0.65,0.8,25,1734.6961002101027,17.77185442247863,67.40088105726872,7.824211004795334,19,False
5.0,0.65,0.8,30,1644.8793254544378,12.531103786247078,62.11453744493392,6.971727833363661,18,False
5.0,0.65,0.8,35,1504.922208737415,13.286278424553622,65.63876651982379,9.932680733843636,18,False
5.0,0.65,0.9,25,1679.2199302612496,17.374976710791444,65.63876651982379,7.250790074806623,18,False
5.0,0.65,0.9,30,1552.1202315419162,13.644135833000684,61.67400881057269,6.279308011345774,19,False
5.0,0.65,0.9,35,1269.4842923813192,14.08261878734617,64.75770925110133,5.178601118333193,19,False
5.0,0.65,1.0,25,1274.3775770647876,16.915937327919583,64.75770925110133,7.935061475499405,17,False
5.0,0.65,1.0,30,1533.324750210385,13.00124156810955,66.96035242290749,8.128255860018463,18,False
5.0,0.65,1.0,35,1130.6427064769175,17.06789082344433,61.23348017621145,9.376367015656406,16,False
5.0,0.75,0.8,25,1560.9787643393136,17.936675471394462,63.87665198237885,7.590791597853097,18,False
5.0,0.75,0.8,30,1649.0965944945367,12.56494576476297,64.75770925110133,7.340677508557492,19,False
5.0,0.75,0.8,35,1631.6572553723797,13.689779372415153,65.63876651982379,6.605512732220586,19,False
5.0,0.75,0.9,25,1384.8146914375943,18.00545478491835,66.51982378854625,6.788672521662309,18,False
