atr_mult,equity_stop,max_open,vol_block,rebound,dd_pause_bars,atr_fast,e_final,e_dd,e_months,e_yup,e_tpy,e_peak,e_ruin
2.5,35.0,20,0.8,0.65,10,15,681.3363663968452,47.82754171275105,49.77973568281938,11,753.421052631579,14,False
2.5,35.0,20,1.0,0.45,10,15,-839.6372176469241,780.9849893452931,16.299559471365637,16,1152.842105263158,8,True
2.5,35.0,20,1.0,0.65,10,15,-221.94860096845952,190.2673511675899,28.193832599118945,9,974.0,10,True
2.5,60.0,10,0.8,0.45,10,15,605.645578475773,43.56999161979246,46.25550660792951,9,696.4736842105264,8,False
2.5,60.0,10,0.8,0.65,10,15,2825.8521183157573,37.7449359122756,58.14977973568281,15,466.7368421052632,8,False
2.5,60.0,10,1.0,0.45,10,15,-667.7879064310293,592.1504961174353,20.704845814977972,14,1019.7368421052631,7,True
2.5,60.0,10,1.0,0.65,10,15,-2.708888686943638,116.2604578009628,36.56387665198238,7,839.3684210526316,8,True
2.5,60.0,20,0.8,0.45,10,15,75.97355296652748,85.2193934993582,31.277533039647576,5,883.8947368421053,11,False
2.5,60.0,20,0.8,0.65,10,15,564.3613856435502,45.01192833678739,50.22026431718062,10,734.3684210526316,14,False
2.5,60.0,20,1.0,0.45,10,15,-840.5472295516835,642.2283376516367,16.299559471365637,16,1151.8947368421052,8,True
2.5,60.0,20,1.0,0.65,10,15,-106.07092679054918,129.89692836557415,29.074889867841406,7,975.0,10,True
3.5,10.0,10,0.8,0.45,10,15,1263.628603375055,20.016007840979306,67.40088105726872,19,447.94736842105266,8,False
3.5,10.0,10,0.8,0.65,10,15,1735.0562007187505,22.65066066697088,80.1762114537445,19,360.2631578947368,8,False
3.5,10.0,10,1.0,0.45,10,15,463.93111523892964,59.22229246203753,51.541850220264315,14,608.7368421052631,6,False
3.5,10.0,10,1.0,0.65,10,15,1062.156073222644,28.005988238185196,72.24669603524228,18,487.89473684210526,6,False
3.5,10.0,20,0.8,0.45,10,15,1120.4292819249986,24.54644383538551,69.16299559471366,15,546.2631578947369,8,False
3.5,10.0,20,0.8,0.65,10,15,1746.386351374342,20.692181713351385,82.37885462555066,19,465.1578947368421,10,False
3.5,10.0,20,1.0,0.45,10,15,383.21528971447714,52.6354946227636,50.22026431718062,11,664.1578947368421,8,False
3.5,10.0,20,1.0,0.65,10,15,1198.7551573135663,24.60863972926036,67.40088105726872,19,552.2105263157895,8,False
3.5,20.0,10,0.8,0.45,10,15,1262.2372597221758,25.057078690382113,60.792951541850215,17,435.3157894736842,8,False
3.5,20.0,10,0.8,0.65,10,15,2034.0109237179877,22.684162746693094,69.60352422907489,19,320.36842105263156,8,False
3.5,20.0,10,1.0,0.45,10,15,469.6570842414563,58.35257823716141,48.458149779735685,15,601.578947368421,6,False
