atr_mult,rebound,vol_block,atr_fast,atr_slow,final,max_dd_pct,months_up_pct,median_year_pct,years_up,trades_per_year,ruined
5.0,0.45,1.15,50,100,82.26,120.81,47.1,-1.47,9,156.0,True
5.0,0.45,1.15,50,200,425.4,37.15,51.5,2.62,13,135.0,False
5.0,0.45,1.15,50,288,384.25,65.12,48.5,2.59,11,140.0,False
5.0,0.45,1.35,10,100,324.6,34.06,48.5,0.41,11,126.0,False
5.0,0.45,1.35,10,200,371.98,53.32,51.5,2.86,14,119.0,False
5.0,0.45,1.35,10,288,393.75,79.05,46.7,1.52,11,120.0,False
5.0,0.45,1.35,20,100,270.58,82.28,47.1,1.18,11,143.0,False
5.0,0.45,1.35,20,200,537.3,37.44,51.1,3.74,14,135.0,False
5.0,0.45,1.35,20,288,411.51,56.51,50.7,3.02,13,137.0,False
5.0,0.45,1.35,50,100,-261.16,351.52,31.7,8.04,13,167.0,True
5.0,0.45,1.35,50,200,89.27,120.39,42.3,1.76,10,149.0,True
5.0,0.45,1.35,50,288,-106.43,202.39,36.1,-0.77,9,155.0,True
5.0,0.55,1.0,10,100,1045.6,20.6,59.5,6.52,16,94.0,False
5.0,0.55,1.0,10,200,1369.98,20.2,62.1,6.52,19,80.0,False
5.0,0.55,1.0,10,288,1121.75,20.13,58.1,9.19,18,85.0,False
5.0,0.55,1.0,20,100,901.39,21.37,55.9,6.42,19,102.0,False
5.0,0.55,1.0,20,200,1416.6,20.2,59.5,5.3,17,89.0,False
5.0,0.55,1.0,20,288,1686.69,21.96,59.0,7.77,18,94.0,False
5.0,0.55,1.0,50,100,901.31,28.05,59.5,8.25,17,118.0,False
5.0,0.55,1.0,50,200,1441.28,25.02,58.6,6.46,19,106.0,False
5.0,0.55,1.0,50,288,1022.05,32.39,55.9,5.49,16,112.0,False
5.0,0.55,1.15,10,100,701.85,25.14,52.9,5.19,17,108.0,False
5.0,0.55,1.15,10,200,888.75,22.3,56.8,8.07,17,95.0,False
5.0,0.55,1.15,10,288,1140.59,21.72,59.5,7.45,19,100.0,False
5.0,0.55,1.15,20,100,637.11,35.67,52.0,8.0,16,123.0,False
5.0,0.55,1.15,20,200,1072.65,23.73,55.9,3.68,19,107.0,False
5.0,0.55,1.15,20,288,658.96,29.61,50.7,8.84,16,112.0,False
5.0,0.55,1.15,50,100,258.86,66.24,46.3,0.0,10,147.0,False
5.0,0.55,1.15,50,200,654.14,46.18,52.9,6.85,14,125.0,False
5.0,0.55,1.15,50,288,366.8,42.66,48.5,1.57,14,132.0,False
5.0,0.55,1.35,10,100,321.74,46.3,50.2,7.41,14,112.0,False
5.0,0.55,1.35,10,200,718.49,20.17,51.5,6.22,15,106.0,False
5.0,0.55,1.35,10,288,506.03,37.89,48.5,0.96,14,110.0,False
5.0,0.55,1.35,20,100,525.9,26.87,50.2,1.83,16,132.0,False
5.0,0.55,1.35,20,200,467.27,33.54,48.5,1.9,13,122.0,False
5.0,0.55,1.35,20,288,309.64,36.23,44.5,1.12,13,131.0,False
5.0,0.55,1.35,50,100,-165.43,247.93,30.4,4.33,11,156.0,True
5.0,0.55,1.35,50,200,123.42,102.33,48.9,1.02,11,142.0,True
5.0,0.55,1.35,50,288,70.11,70.06,41.4,0.87,10,149.0,False
