atr_mult,rebound,vol_block,atr_fast,max_open,equity_stop,final,dd,net,months,yup,tpy,ruin,trades
4.0,0.65,0.8,10,15,9.0,2114.2503738095447,15.211136006301897,2014.250373809545,78.41409691629956,19,354.6683842605938,False,6737
4.0,0.65,0.8,15,10,4.0,2096.6292877400565,15.999761086467428,1996.6292877400565,89.86784140969164,19,314.2371360622658,False,5969
4.0,0.65,0.8,15,10,6.0,2243.6484458097566,14.540158422132496,2143.6484458097566,88.10572687224669,19,303.49758575958487,False,5765
4.0,0.65,0.8,15,10,9.0,2174.647505311368,17.29117844117511,2074.647505311368,82.37885462555066,19,306.8668564427789,False,5829
4.0,0.65,0.8,15,12,4.0,2081.8444263181573,17.611149717219032,1981.844426318157,88.10572687224669,19,339.4540213317959,False,6448
4.0,0.65,0.8,15,12,6.0,2031.5489413919547,21.187163146159847,1931.5489413919547,82.81938325991189,19,340.1910492937446,False,6462
4.0,0.65,0.8,15,12,9.0,2127.1347927961147,16.44162192922527,2027.1347927961147,79.73568281938326,19,321.6074156817526,False,6109
4.0,0.65,0.8,15,15,4.0,2044.6210298646176,15.779479495797984,1944.6210298646176,87.22466960352423,19,360.72254251945805,False,6852
4.0,0.65,0.8,15,15,6.0,2131.245389743607,14.115540802959146,2031.245389743607,86.34361233480176,19,353.14168348227156,False,6708
4.0,0.65,0.8,15,15,9.0,2195.8734711233383,13.320105441359035,2095.8734711233383,81.05726872246696,19,337.40087200922454,False,6409
4.0,0.65,0.8,20,10,4.0,2066.2997279204933,23.733211220727682,1966.2997279204933,90.7488986784141,19,324.1870135485731,False,6158
4.0,0.65,0.8,20,10,6.0,1942.6653487280166,24.186269681781358,1842.6937487280165,85.46255506607929,19,307.81446382242723,False,5847
4.0,0.65,0.8,20,10,9.0,1907.5998635133938,26.72158461676741,1807.5998635133938,85.02202643171806,19,313.0789492649178,False,5947
4.0,0.65,0.8,20,12,4.0,1978.8890300751345,17.63569173996728,1878.8890300751345,88.98678414096916,19,356.9321130008648,False,6780
4.0,0.65,0.8,20,12,6.0,1969.251546930799,21.4195039168533,1869.251546930799,87.66519823788546,19,347.14017007783224,False,6594
4.0,0.65,0.8,20,12,9.0,1986.3280099720887,24.41033486915606,1886.3280099720887,83.25991189427313,19,344.82379648313633,False,6550
4.0,0.65,0.8,20,15,4.0,2015.6512992861508,21.6320027255554,1915.6512992861508,87.22466960352423,19,368.25075670221963,False,6995
4.0,0.65,0.8,20,15,6.0,2034.6103330772112,21.723327350728585,1934.6103330772112,85.90308370044053,19,363.6180095128279,False,6907
4.0,0.65,0.8,20,15,9.0,1980.5656572141745,24.70963273861725,1880.5656572141745,81.93832599118943,19,354.2472254251946,False,6729
4.0,0.65,0.9,10,10,4.0,1831.9122611111432,14.509649561993893,1731.9122611111432,88.98678414096916,19,354.7736739694436,False,6739
4.0,0.65,0.9,10,10,6.0,1889.7635134920367,13.412022210137206,1789.7635134920367,84.58149779735683,19,342.87593686941483,False,6513
4.0,0.65,0.9,10,10,9.0,2045.615784920637,16.673672612795507,1945.615784920637,82.81938325991189,19,334.4527601614298,False,6353
4.0,0.65,0.9,10,12,4.0,1838.9537841270753,15.87236244806334,1738.9537841270753,84.58149779735683,19,379.5167555491496,False,7209
4.0,0.65,0.9,10,12,6.0,1744.5376182540322,12.955898568860096,1644.5376182540322,83.70044052863436,19,374.88400835975784,False,7121
4.0,0.65,0.9,10,12,9.0,2001.3636484127085,16.82229867596651,1901.3636484127085,82.37885462555066,19,365.61851398097434,False,6945
4.0,0.65,0.9,10,15,4.0,1741.9388007937564,15.501942378512354,1641.9388007937564,84.58149779735683,19,402.41726722398386,False,7644
4.0,0.65,0.9,10,15,6.0,1935.5996253968697,14.044628080504253,1835.5996253968697,84.14096916299559,19,397.41600605361776,False,7549
4.0,0.65,0.9,10,15,9.0,2065.9000428572117,10.57113835944593,1965.9000428572117,82.37885462555066,19,395.62608100317095,False,7515
4.0,0.65,0.9,15,10,4.0,1711.6291133644145,18.260340296084944,1611.5951133644144,85.90308370044053,19,362.0913087345056,False,6878
4.0,0.65,0.9,15,10,6.0,1905.4432226495842,18.82523938410246,1805.4432226495842,80.61674008810573,19,347.77190833093107,False,6606
4.0,0.65,0.9,15,10,9.0,2119.332962959252,15.888692412250816,2019.3329629592522,80.1762114537445,19,352.66787979244737,False,6699
4.0,0.65,0.9,15,12,4.0,1710.103771106668,19.535160682073975,1610.069771106668,84.58149779735683,19,385.93942778898816,False,7331
4.0,0.65,0.9,15,12,6.0,1836.461502608491,16.673285866413146,1736.461502608491,81.93832599118943,19,377.6741856442779,False,7174
4.0,0.65,0.9,15,12,9.0,1900.7800122155543,19.076570953650968,1800.7800122155543,79.73568281938326,19,374.93665321418274,False,7122
4.0,0.65,0.9,15,15,4.0,1711.851076612278,18.936530775116974,1611.851076612278,86.34361233480176,19,404.1019025655809,False,7676
4.0,0.65,0.9,15,15,6.0,1877.7774165889662,17.486182946035246,1777.7774165889662,83.70044052863436,19,399.2059311040646,False,7583
4.0,0.65,0.9,15,15,9.0,2058.018550122095,18.64608077211929,1958.0185501220951,79.29515418502203,19,400.73263188238684,False,7612
4.0,0.65,0.9,20,10,4.0,1703.6460861917064,20.946678508641668,1603.6460861917064,84.58149779735683,19,360.72254251945805,False,6852
4.0,0.65,0.9,20,10,6.0,1695.0246572118513,21.734079078849362,1595.0246572118513,83.70044052863436,19,360.56460795618335,False,6849
4.0,0.65,0.9,20,10,9.0,1744.6059178756693,17.134890021758956,1644.4949178756692,77.09251101321586,19,350.66737532430096,False,6661
4.0,0.65,0.9,20,12,4.0,1711.9288764951898,21.08743614892935,1611.9288764951898,83.25991189427313,19,391.1512683770539,False,7430
4.0,0.65,0.9,20,12,6.0,1590.9568032831935,21.86492609537841,1490.9568032831935,82.37885462555066,19,387.4661285673105,False,7360
4.0,0.65,0.9,20,12,9.0,1678.09737977109,17.21995036694663,1577.9863797710898,76.2114537444934,19,377.25302680887864,False,7166
4.0,0.65,0.9,20,15,4.0,1663.696162161925,21.029805823389125,1563.696162161925,83.25991189427313,19,410.3139953877198,False,7794
4.0,0.65,0.9,20,15,6.0,1617.4008305041432,19.853903197907083,1517.4008305041432,82.37885462555066,19,408.524070337273,False,7760
4.0,0.65,0.9,20,15,9.0,1955.7776946042782,10.849417546223103,1855.7776946042782,79.73568281938326,19,406.4709210147016,False,7721
4.0,0.75,0.7,10,10,4.0,2537.546380158723,20.837868459435825,2437.546380158723,95.59471365638767,19,237.48093831075238,False,4511
4.0,0.75,0.7,10,10,6.0,2631.8817579364822,24.5179924787887,2531.8817579364822,94.27312775330397,19,230.3212381089651,False,4375
4.0,0.75,0.7,10,10,9.0,2542.55609603174,32.67361182398446,2442.5930960317396,87.22466960352423,19,228.11015422311905,False,4333
4.0,0.75,0.7,10,12,4.0,2470.0109904762044,30.510173809988718,2370.0109904762044,93.83259911894272,19,274.06911213606224,False,5206
4.0,0.75,0.7,10,12,6.0,2626.3643246031847,22.42034122046795,2526.3643246031847,93.3920704845815,19,268.90991640242146,False,5108
4.0,0.75,0.7,10,12,9.0,2665.675121428562,13.8772161483157,2565.675121428562,90.30837004405286,19,261.1711228019602,False,4961
4.0,0.75,0.7,10,15,4.0,2574.2513626984123,32.7403397064005,2474.2513626984123,92.51101321585902,19,310.0255477082733,False,5889
4.0,0.75,0.7,10,15,6.0,2605.4185261904563,20.066743220443737,2505.4185261904563,89.42731277533039,19,298.917483424618,False,5678
4.0,0.75,0.7,10,15,9.0,2766.228085714296,23.76890911844392,2666.228085714296,86.34361233480176,19,286.1247837993658,False,5435
4.0,0.75,0.7,15,10,4.0,2612.7466126928166,25.581891943326934,2512.8666126928165,91.62995594713657,19,233.4272845200346,False,4434
4.0,0.75,0.7,15,10,6.0,2474.852687090662,29.160003184675844,2374.972687090662,89.42731277533039,19,233.16406024791004,False,4429
