atr_mult,rebound,vol_block,equity_stop,max_open,dd_pause_bars,atr_fast,e_final,e_dd,e_months,e_yup,e_tpy,e_peak,e_ruin
3.0,0.65,0.8,16.0,40,10,15,1290.6020995130486,26.60221469548354,66.51982378854625,17,609.3684210526316,10,False
3.0,0.65,1.0,6.0,20,10,15,839.7536394522484,41.54261318364977,56.82819383259912,16,725.8947368421053,9,False
3.0,0.65,1.0,6.0,40,10,15,835.8042581335651,41.54261318364977,57.268722466960355,15,737.7368421052631,9,False
3.0,0.65,1.0,10.0,20,10,15,712.1422166833366,45.25656178772704,55.50660792951542,16,724.8947368421053,9,False
3.0,0.65,1.0,10.0,40,10,15,724.4359365551376,47.80178675777847,55.947136563876654,15,737.3157894736842,9,False
3.0,0.65,1.0,16.0,20,10,15,825.7279516150686,24.442819655920406,55.06607929515418,17,728.8947368421053,11,False
3.0,0.65,1.0,16.0,40,10,15,664.1321586080809,48.79571132015716,54.18502202643172,15,739.1052631578947,11,False
3.5,0.45,0.8,6.0,20,10,15,1088.152075636136,25.143976226332875,71.36563876651982,15,554.0526315789474,8,False
3.5,0.45,0.8,6.0,40,10,15,1042.7672596639227,25.10743938047065,70.48458149779736,14,568.0,8,False
3.5,0.45,0.8,10.0,20,10,15,1120.4292819249986,24.54644383538551,69.16299559471366,15,546.2631578947369,8,False
3.5,0.45,0.8,10.0,40,10,15,1014.1433756750064,26.608868468234565,67.84140969162996,14,564.7894736842105,8,False
3.5,0.45,0.8,16.0,20,10,15,1315.064065933322,18.422087438688973,65.19823788546255,15,551.7894736842105,8,False
3.5,0.45,0.8,16.0,40,10,15,1267.3051633740765,27.73453658980822,64.75770925110133,14,567.421052631579,8,False
3.5,0.45,1.0,6.0,20,10,15,342.1265397144611,54.28675154194038,49.77973568281938,12,664.0,8,False
3.5,0.45,1.0,6.0,40,10,15,354.7409980478021,54.28675154194038,51.10132158590308,12,677.7368421052631,8,False
3.5,0.45,1.0,10.0,20,10,15,383.21528971447714,52.6354946227636,50.22026431718062,11,664.1578947368421,8,False
3.5,0.45,1.0,10.0,40,10,15,391.2411480478215,52.6354946227636,50.66079295154186,11,677.5263157894736,8,False
3.5,0.45,1.0,16.0,20,10,15,279.0133905157543,66.74221491289583,47.136563876651984,12,665.1578947368421,8,False
3.5,0.45,1.0,16.0,40,10,15,270.8699020542275,66.74221491289583,48.01762114537445,12,678.7894736842105,8,False
3.5,0.65,0.8,6.0,20,10,15,1731.4100490627882,20.74525450454837,81.4977973568282,19,460.57894736842104,10,False
3.5,0.65,0.8,6.0,40,10,15,1666.9810891220418,23.511280062144525,81.05726872246696,19,480.57894736842104,10,False
3.5,0.65,0.8,10.0,20,10,15,1746.386351374342,20.692181713351385,82.37885462555066,19,465.1578947368421,10,False
3.5,0.65,0.8,10.0,40,10,15,1624.7842736305795,21.83987903673701,79.29515418502203,19,476.94736842105266,10,False
3.5,0.65,0.8,16.0,20,10,15,2199.4898818133697,19.42327376510532,76.65198237885463,19,453.7368421052632,10,False
3.5,0.65,0.8,16.0,40,10,15,1846.5111073912421,23.31653116055465,76.2114537444934,19,477.05263157894734,10,False
3.5,0.65,1.0,6.0,20,10,15,1158.9531645250966,34.946202397653124,70.04405286343612,18,553.3157894736842,8,False
3.5,0.65,1.0,6.0,40,10,15,1168.3348314054274,34.946202397653124,70.48458149779736,18,569.0,8,False
3.5,0.65,1.0,10.0,20,10,15,1198.7551573135663,24.60863972926036,67.40088105726872,19,552.2105263157895,8,False
3.5,0.65,1.0,10.0,40,10,15,1247.392107954576,24.60863972926036,69.60352422907489,19,564.3684210526316,8,False
3.5,0.65,1.0,16.0,20,10,15,1080.9003956585502,21.444640435763812,63.436123348017624,18,560.4736842105264,8,False
3.5,0.65,1.0,16.0,40,10,15,1160.3854886072422,21.444640435763812,66.07929515418502,18,566.578947368421,8,False
4.0,0.45,0.8,6.0,20,10,15,1505.2803163170665,23.06020608531007,77.09251101321586,18,437.4736842105263,8,False
4.0,0.45,0.8,6.0,40,10,15,1480.0480433733567,23.06020608531007,77.5330396475771,18,454.6842105263158,9,False
4.0,0.45,0.8,10.0,20,10,15,1405.1232915973278,20.215426057702164,72.68722466960352,18,432.42105263157896,7,False
4.0,0.45,0.8,10.0,40,10,15,1368.8903877012285,20.215426057702164,73.12775330396477,18,451.89473684210526,9,False
4.0,0.45,0.8,16.0,20,10,15,1659.7274618437305,24.526120110250112,66.51982378854625,18,432.0,7,False
4.0,0.45,0.8,16.0,40,10,15,1693.418865778715,26.518180112957353,68.28193832599119,18,451.4736842105263,9,False
4.0,0.45,1.0,6.0,20,10,15,909.968702103474,16.91021262313168,65.63876651982379,18,518.7368421052631,7,False
4.0,0.45,1.0,6.0,40,10,15,914.4297306749158,16.91021262313168,67.40088105726872,18,528.2105263157895,7,False
4.0,0.45,1.0,10.0,20,10,15,888.1283480852932,22.74261645970271,62.99559471365639,17,514.2105263157895,7,False
4.0,0.45,1.0,10.0,40,10,15,892.0516623710148,22.74261645970271,64.75770925110133,17,524.7894736842105,7,False
4.0,0.45,1.0,16.0,20,10,15,1029.6299042402254,26.658880076138193,62.99559471365639,16,514.0,7,False
4.0,0.45,1.0,16.0,40,10,15,988.5993899545199,26.658880076138193,64.75770925110133,16,524.4736842105264,7,False
4.0,0.65,0.8,6.0,20,10,15,2157.395882900498,15.689312316834522,88.54625550660793,19,372.8421052631579,7,False
4.0,0.65,0.8,6.0,40,10,15,2135.2236047952833,15.689312316834522,87.22466960352423,19,383.4736842105263,9,False
4.0,0.65,0.8,10.0,20,10,15,1988.2011092852042,22.0035618631103,79.29515418502203,19,353.1578947368421,7,False
4.0,0.65,0.8,10.0,40,10,15,1984.612479847984,19.264961639294366,82.81938325991189,19,380.2631578947368,7,False
4.0,0.65,0.8,16.0,20,10,15,2340.4688163503256,15.52634264232875,78.41409691629956,19,360.2631578947368,8,False
4.0,0.65,0.8,16.0,40,10,15,2338.460220329713,18.417049454148504,80.61674008810573,19,386.0,8,False
4.0,0.65,1.0,6.0,20,10,15,1487.9437496559167,15.202178370908301,74.8898678414097,19,436.5263157894737,8,False
4.0,0.65,1.0,6.0,40,10,15,1491.0711639416318,15.202178370908301,76.2114537444934,19,445.0,8,False
4.0,0.65,1.0,10.0,20,10,15,1464.0008739649418,17.980631407041518,70.92511013215858,19,434.5263157894737,7,False
4.0,0.65,1.0,10.0,40,10,15,1524.7161453935273,17.980631407041518,73.568281938326,19,442.10526315789474,7,False
4.0,0.65,1.0,16.0,20,10,15,1406.7924205794718,20.277394092013658,66.96035242290749,19,425.89473684210526,7,False
4.0,0.65,1.0,16.0,40,10,15,1550.994447585783,20.277394092013658,69.16299559471366,19,434.10526315789474,7,False
4.5,0.45,0.8,6.0,20,10,15,1523.1021946803198,20.209889214561922,80.61674008810573,19,378.4736842105263,7,False
4.5,0.45,0.8,6.0,40,10,15,1532.4382155594471,20.209889214561922,81.4977973568282,19,381.89473684210526,7,False
4.5,0.45,0.8,10.0,20,10,15,1630.2567999625564,11.926883761397109,72.68722466960352,19,367.2631578947368,7,False
4.5,0.45,0.8,10.0,40,10,15,1564.1293279845304,13.959324876348909,73.568281938326,19,372.6842105263158,7,False
4.5,0.45,0.8,16.0,20,10,15,1714.2230377247854,14.928213530093487,69.60352422907489,19,360.5263157894737,7,False
4.5,0.45,0.8,16.0,40,10,15,1624.5723633991201,19.383604463801625,69.16299559471366,19,368.10526315789474,7,False
